BOROUGH,HOUSE,STREET,STREETON,RACKS,RACKTYPE,WORKTYPE,WORKDATE,X,Y
1,4,SOUTH ST,,2,Circular,Install,,980682,194465
1,55,WATER ST,OLD SL,3,Circular,Install,,981708,195465
1,82,WALL ST,,1,Large,Install,,982170,196292
1,250,BROADWAY,PARK PL,1,Large,Install,,982083,199036
1,334,GREENWICH ST,,4,Large,Install,,981153,200854
1,199,CHAMBERS ST,,10,Large,Install,,980925,200884
1,199,CHAMBERS ST,WEST ST,2,Large,Install,,980925,200884
1,77,HARRISON ST,,3,Large,Install,,980925,200884
1,333,GREENWICH ST,,1,Large,Install,,981398,200800
1,270,SOUTH ST,,6,Small,Install,,988097,197817
1,17,JACKSON ST,JACKSON ST,2,Circular,Install,,989410,198850
1,17,JACKSON ST,MADISON ST,2,Circular,Install,,989410,198850
1,44,JACKSON ST,MADISON ST,4,Circular,Install,,989745,199014
1,573,GRAND ST,MADISON ST,2,Circular,Install,,990103,199025
1,545,GRAND ST,,1,Small,Install,,989720,199342
1,561,GRAND ST,GRAND ST,1,Circular,Install,,989720,199342
1,563,GRAND ST,GRAND ST,1,Circular,Install,,989720,199342
1,565,GRAND ST,MADISON ST,2,Circular,Install,,989720,199342
1,399,GRAND ST,GRAND ST,1,Circular,Install,,987493,199629
1,403,GRAND ST,GRAND ST,1,Circular,Install,,987493,199629
1,407,GRAND ST,GRAND ST,1,Circular,Install,,987493,199629
1,568,GRAND ST,GRAND ST,3,Circular,Install,,990248,199524
1,570,GRAND ST,GRAND ST,2,Circular,Install,,990248,199524
1,610,E 12 ST,,2,Circular,Install,,990276,204339
1,32,AV B,,1,Small,Install,,988880,202541
1,504,E 12 ST,,1,Large,Install,,989522,204758
1,269,BOWERY,,1,Circular,Install,,986351,202880
1,185,1 AV,1 AV,1,Circular,Install,,988722,204886
1,188,2 AV,E 12 ST,1,Circular,Install,,988217,205516
1,190,2 AV,E 12 ST,1,Circular,Install,,988217,205516
1,73,2 AV,,1,Circular,Install,,987125,203922
1,200,E 14 ST,,1,Large,Install,,987858,206266
1,202,E 14 ST,,1,Large,Install,,987858,206266
1,206,E 14 ST,,1,Large,Install,,987858,206266
1,505,BROOME ST,,1,Circular,Install,983336,202764
1,536,LA GUARDIA PL,,1,Large,Install,984618,204792
1,140,E 14 ST,,4,Large,Install,987509,206456
1,833,BROADWAY,,1,Large,Install,986648,206663
1,78,W 11 ST,W 11 ST,1,Small,Install,984791,207113
1,304,HUDSON ST,HUDSON ST,1,Circular,Install,982299,203842
1,5,GREENWICH AV,CHRISTOPHER ST,1,Circular,Install,984275,206596
1,118,GREENWICH AV,,1,Small,Install,983695,208305
1,672,W 34 ST,W 34 ST,6,Circular,Install,983234,214713
1,521,W 23 ST,,1,Small,Install,982901,211900
1,530,W 25 ST,,1,Large,Install,983008,212249
1,535,W 35 ST,,1,Small,Install,984259,214776
1,430,W 25 ST,,7,Large,Install,983635,211901
1,527,9 AV,,1,,Install,985865,215027
1,333,W 17 ST,,5,Large,Install,983634,209793
1,311,W 17 ST,,1,Small,Install,983831,209631
1,301,W 17 ST,,1,Large,Install,983869,209570
1,151,8 AV,,1,Circular,Install,983917,209653
1,356,W 18 ST,,1,Small,Install,983384,209986
1,304,W 30 ST,,1,Circular,Install,985380,212409
1,200,W 16 ST,,1,Small,Install,984482,208812
1,200,W 18 ST,,1,Large,Install,984723,209250
1,210,W 18 ST,,1,Small,Install,984596,209260
1,250,W 19 ST,,1,Small,Install,984507,209641
1,201,W 18 ST,,1,Large,Install,984813,209419
1,205,W 19 ST,,1,Large,Install,984853,209622
1,251,W 19 ST,,1,Large,Install,984481,209841
1,250,7 AV,,2,Large,Install,985501,210813
1,216,W 29 ST,,1,Small,Install,985909,211821
1,224,W 29 ST,,1,Small,Install,985848,211866
1,209,W 35 ST,,2,Small,Install,986928,213237
1,200,W 37 ST,,1,Small,Install,987018,213562
1,77,7 AV,,1,Small,Install,984497,208433
1,100,W 15 ST,,2,Small,Install,985135,208181
1,120,W 15 ST,,1,Small,Install,984902,208216
1,161,W 15 ST,1,Small,Install,984623,208628
1,127,W 15 ST,1,Small,Install,984979,208416
1,101,W 15 ST,1,Small,Install,985220,208344
1,555,6 AV,1,Large,Install,985220,208344
1,555,6 AV,1,Small,Install,985220,208344
1,625,6 AV,1,Small,Install,985581,208992
1,140,W 22 ST,1,Circular,Install,985617,209877
1,707,6 AV,1,Small,Install,986032,209865
1,100,W 23 ST,1,Large,Install,986146,209921
1,148,W 23 ST,1,Large,Install,985671,210140
1,101,W 30 ST,1,Small,Install,987066,211713
1,1407,BROADWAY,1,Circular,Install,987616,213722
1,620,6 AV,1,Large,Install,985930,208800
1,146,5 AV,1,Circular,Install,986603,208676
1,1153,BROADWAY,1,Small,Install,987241,210463
1,2,W 32 ST,1,Small,Install,988077,211501
1,12,W 32 ST,1,Small,Install,987976,211557
1,320,PARK AV S,1,Small,Install,987870,209204
1,330,PARK AV S,1,Small,Install,987995,209430
1,404,PARK AV S,2,Small,Install,988620,210198
1,432,PARK AV S,1,Large,Install,988747,210425
1,432,PARK AV S,1,Small,Install,988747,210425
1,470,PARK AV S,1,Small,Install,989001,210896
1,14,UNION SQ E,1,Large,Install,987259,206907
1,30,IRVING PL,1,Large,Install,987653,207058
1,40,IRVING PL,2,Small,Install,987834,207189
1,130,E 18 ST,1,Small,Install,987947,207457
1,120,E 23 ST,1,Large,Install,988208,208698
1,113,E 23 ST,2,Large,Install,988188,208971
1,153,E 23 ST,1,Small,Install,988807,208744
1,315,PARK AV S,1,Small,Install,988232,209064
1,439,PARK AV S,1,Small,Install,988956,210460
1,443,PARK AV S,1,Small,Install,989022,210553
1,444,3 AV,1,Small,Install,989791,210229
1,432,3 AV,1,Small,Install,989763,210135
1,113,E 31 ST,,1,Large,Install,989276,210721
1,133,E 31 ST,,1,Small,Install,989449,210579
1,456,3 AV,,1,Large,Install,989761,210510
1,114,E 32 ST,,1,Small,Install,989341,210802
1,475,PARK AV S,,1,Small,Install,989216,210855
1,200,LEXINGTON AV,,2,Large,Install,989560,210917
1,200,LEXINGTON AV,,1,Small,Install,989560,210917
1,205,LEXINGTON AV,,1,Small,Install,989713,210761
1,164,E 33 ST,,1,Small,Install,990066,210722
1,484,3 AV,,1,Small,Install,990066,210722
1,215,LEXINGTON AV,,1,Small,Install,989761,210849
1,166,E 34 ST,,1,Large,Install,990158,210847
1,504,3 AV,,1,Small,Install,990158,210847
1,120,E 34 ST,,1,Large,Install,989701,211183
1,508,3 AV,,1,Small,Install,990201,211141
1,548,3 AV,,1,Large,Install,990544,211564
1,205,E 14 ST,,1,Small,Install,988010,206433
1,211,E 14 ST,,1,Large,Install,988086,206391
1,231,2 AV,,1,Small,Install,988380,206198
1,235,2 AV,,1,Large,Install,988406,206244
1,173,3 AV,3 AV,1,Circular,Install,988196,206983
1,337,2 AV,,1,Small,Install,989012,207373
1,373,2 AV,,1,Small,Install,989228,207850
1,391,2 AV,2 AV,1,Circular,Install,989406,208047
1,210,E 23 ST,,1,Large,Install,989071,208257
1,208,E 23 ST,,1,Small,Install,989033,208278
1,385,2 AV,,1,Large,Install,989260,208037
1,200,E 30 ST,,1,Small,Install,989860,209939
1,425,3 AV,,1,Small,Install,989860,209939
1,431,3 AV,,1,Large,Install,989926,210068
1,439,3 AV,,1,Large,Install,989926,210068
1,571,2 AV,2 AV,1,Circular,Install,990517,210065
1,515,3 AV,,1,Small,Install,990476,211059
1,537,3 AV,,1,Small,Install,990635,211322
1,719,2 AV,2 AV,1,Circular,Install,991436,211723
1,721,2 AV,2 AV,1,Circular,Install,991436,211723
1,397,1 AV,1 AV,1,Circular,Install,990063,207707
1,142,W 57 ST,,1,Small,Install,989985,217875
1,200,W 44 ST,,1,Large,Install,987931,215153
1,712,7 AV,,1,Small,Install,988506,216065
1,345,W 42 ST,,1,Large,Install,986609,215532
1,308,W 45 ST,,1,Small,Install,987238,215895
1,721,8 AV,8 AV,1,Small,Install,987418,215977
1,301,W 46 ST,,1,Small,Install,987568,216178
1,306,W 47 ST,,1,Small,Install,987525,216353
